id,bengali,phonetic,french,sent_at
1,"আমি ভাত খাই।","Aami bhaat khaai.","Je mange du riz.",2026-05-17T12:22:42.746Z
2,"আপনি কেমন আছেন?","Apni kemon aachen?","Comment allez-vous ?",2026-05-17T12:22:42.746Z
3,"আজকে রোদ আছে।","Aajke rod ache.","Il y a du soleil aujourd'hui.",2026-05-17T12:22:42.746Z
4,"আমার নাম লুক।","Aamar naam Luc.","Je m'appelle Luc.",2026-05-17T19:00:45.789Z
5,"আমি চা পান করি।","Aami chaa paan kori.","Je bois du thé.",2026-05-17T19:00:45.789Z
6,"আজকে ঠান্ডা।","Aajke thaanda.","Il fait froid aujourd'hui.",2026-05-17T19:00:45.789Z
7,"আমি ঘুমাই।","Aami ghumaai.","Je dors.",2026-05-18T06:01:01.149Z
8,"জল ঠান্ডা।","Jal thaanda.","L'eau est froide.",2026-05-18T06:01:01.149Z
9,"আজকে বৃষ্টি হচ্ছে।","Aajke brrishti hochche.","Il pleut aujourd'hui.",2026-05-18T06:01:01.149Z
10,"আমি বাজারে যাই।","Aami baajare jaai.","Je vais au marché.",2026-05-18T19:00:35.061Z
11,"তুমি কোথায় যাচ্ছ?","Tumi kothay jaachho?","Où vas-tu ?",2026-05-18T19:00:35.061Z
12,"আমি বই পড়ি।","Aami boi pori.","Je lis un livre.",2026-05-18T19:00:35.061Z
13,"আমি সকালে উঠি।","Aami shokale uthi.","Je me lève le matin.",2026-05-19T06:01:04.145Z
14,"দরজা খোলো।","Dorja kholo.","Ouvre la porte.",2026-05-19T06:01:04.145Z
15,"আমি খুশি।","Aami khushi.","Je suis heureux.",2026-05-19T06:01:04.145Z
16,"আমি গান গাই।","Aami gaan gaai.","Je chante.",2026-05-19T19:00:47.551Z
17,"বাড়ি কাছে।","Baari kache.","La maison est proche.",2026-05-19T19:00:47.551Z
18,"আমি কাজ করি।","Aami kaaj kori.","Je travaille.",2026-05-19T19:00:47.551Z
19,"আমি স্কুলে যাই।","Aami skule jaai.","Je vais à l'école.",2026-05-20T06:01:12.752Z
20,"আকাশ নীল।","Aakash neel.","Le ciel est bleu.",2026-05-20T06:01:12.752Z
21,"আমি ক্লান্ত।","Aami klaanto.","Je suis fatigué.",2026-05-20T06:01:12.752Z
22,"আমি রান্না করি।","Aami raanna kori.","Je cuisine.",2026-05-20T19:00:54.424Z
23,"বাচ্চারা খেলছে।","Baachhara khelche.","Les enfants jouent.",2026-05-20T19:00:54.424Z
24,"আমি বাড়ি যাচ্ছি।","Aami baari jaachhi.","Je rentre à la maison.",2026-05-20T19:00:54.424Z
25,"আমি ফল খাই।","Aami phol khaai.","Je mange des fruits.",2026-05-21T06:00:24.987Z
26,"রাত হয়েছে।","Raat hoyeche.","Il fait nuit.",2026-05-21T06:00:24.987Z
27,"তুমি ভালো আছ?","Tumi bhaalo aachho?","Tu vas bien ?",2026-05-21T06:00:24.987Z
28,"আমি হাঁটছি।","Aami haantchhi.","Je marche.",2026-05-21T19:01:03.750Z
29,"খাবার গরম।","Khabar gorom.","La nourriture est chaude.",2026-05-21T19:01:03.750Z
30,"আমি বাংলা শিখছি।","Aami Bangla shikhchhi.","J'apprends le bengali.",2026-05-21T19:01:03.750Z
31,"আমি দুধ পান করি।","Aami dudh paan kori.","Je bois du lait.",2026-05-22T10:31:49.202Z
32,"সন্ধ্যা হয়েছে।","Shondhya hoyeche.","Le soir est tombé.",2026-05-22T10:31:49.202Z
33,"আমি হাসছি।","Aami hashchhi.","Je ris.",2026-05-22T10:31:49.202Z
34,"আমি জানালা খুলি।","Aami jaanala khuli.","J'ouvre la fenêtre.",2026-05-23T06:01:06.407Z
35,"আজকে গরম।","Aajke gorom.","Il fait chaud aujourd'hui.",2026-05-23T06:01:06.407Z
36,"আমি ঘরে আছি।","Aami ghore aachhi.","Je suis à la maison.",2026-05-23T06:01:06.407Z
37,"আমি খবর পড়ি।","Aami khobor pori.","Je lis les nouvelles.",2026-05-23T19:00:50.897Z
38,"বাজার দূরে।","Baajaar dure.","Le marché est loin.",2026-05-23T19:00:50.897Z
39,"আমি রাতে খাই।","Aami raate khaai.","Je mange le soir.",2026-05-23T19:00:50.897Z
40,"আমি সাঁতার কাটি।","Aami shaantar kaati.","Je nage.",2026-05-24T06:00:24.463Z
41,"দোকান বন্ধ।","Dokaan bondho.","Le magasin est fermé.",2026-05-24T06:00:24.463Z
